code,name,brand,categories,countries,energy_kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,image_url,image_nutrition_url,main_category,energy_kcal_zscore,fat_zscore,saturated_fat_zscore,sugar_zscore,protein_zscore,salt_zscore,fiber_zscore,protein_to_fat_ratio,sugar_to_energy_ratio,integrity_score,risk_level
42,Multivitamins & Minerals,Seara,"Compléments alimentaires, Vitamines","Belgien, Germany",169.0,9.0,3.0,19.45,4.05,22.0,0.125,1.95,https://images.openfoodfacts.org/images/products/invalid/front_fr.29.400.jpg,https://images.openfoodfacts.org/images/products/invalid/nutrition_fr.25.400.jpg,Compléments alimentaires,0.06670552124876782,0.719667780557345,0.4273657388674284,-0.14080479470946936,0.049350422496889555,-0.26609569968345087,-0.33444206503461493,2.2,0.023823529411764705,0.7649278548151717,high
46,1up,Streawberry shortcake,"Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, Brazil nuts, Protein",United Kingdom,352.941176470588,17.6470588235294,,,5.88235294117647,11.7647058823529,,5.88235294117647,https://images.openfoodfacts.org/images/products/invalid/front_en.7.400.jpg,,Plant-based foods and beverages,0.6458182112263987,0.73515582257442,,-0.2024882376841334,0.053020243081687,,-0.09016897208868517,0.6309148264984209,0.016619577862722296,0.8586496355454032,moderate
73,Whopper,nutra vita,"Dietary supplements, Vitamins, Omega-3",en:Germany,225.0,13.3,,14.5,,9.7,0.865,0.66,https://images.openfoodfacts.org/images/products/invalid/front_en.13.400.jpg,,Dietary supplements,-0.7057518425310416,0.330773303838917,,,-1.1423434214199977,-0.0634096946407978,-0.6106922128088003,0.6783216783216782,,0.8673287071810855,moderate
108,BP-ER,"Edelbrand, Wellgard","Beverages and beverages preparations, Beverages, Dietary supplements","Italien, Germany",360.0,0.0,0.0,0.0,0.0,90.0,1.25,0.0,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg,https://images.openfoodfacts.org/images/products/invalid/nutrition_en.22.400.jpg,Beverages and beverages preparations,2.6892507986102614,-0.23108957197067934,-0.23513588540928487,-0.3247517753306857,13.324271618010771,-0.03739335055391392,-0.30220518422589837,90.0,0.0,0.9734836508510297,low
135,Veganes Protein Schoko,Volksshake,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,354.0,6.0,0.3,8.2,0.2,69.8,0.8,,https://images.openfoodfacts.org/images/products/invalid/front_de.15.400.jpg,https://images.openfoodfacts.org/images/products/invalid/nutrition_de.17.400.jpg,Nahrungsergänzungsmittel,0.030876797249966052,-0.11331052274237247,-0.7983730663985065,-0.6576251184470312,0.4597914884542287,-0.05225605309985085,,9.971428571428572,0.0005633802816901409,1.0,low
172,mélange vegan pour boisson proteinee,Herbalife nutrition,Mélange vegan pour boisson proteinee,en:germany,388.0,9.3,1.0,20.0,0.8,5.4,2.0,3.2,https://images.openfoodfacts.org/images/products/invalid/front_fr.23.400.jpg,https://images.openfoodfacts.org/images/products/invalid/nutrition_fr.27.400.jpg,Mélange vegan pour boisson proteinee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5242718446601942,0.0020565552699228795,0.8682180861752685,moderate
191,Mix fruits rojos,Zitromac,Dietary supplements,en:Ireland,332.299987792969,5.19999980926514,,47.2000007629395,,8.10000038146973,,23.2700004577637,https://images.openfoodfacts.org/images/products/invalid/front_en.3.400.jpg,,Dietary supplements,0.07002667736631255,-0.18153425803806533,,,-1.1958529795686217,,1.6094321940009262,1.3064517146218733,,0.9556392417194782,low
229,Vanilla Grass-fed Whey Protein Isolate,Opportuniteas,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Ireland,400.0,0.0,0.0,23.3,23.3,73.3,1.12,0.0,https://images.openfoodfacts.org/images/products/invalid/front_en.6.400.jpg,https://images.openfoodfacts.org/images/products/invalid/nutrition_en.8.400.jpg,Dietary supplements,0.5594975183913738,-0.5104230433855765,-0.9274483346798522,1.4552695897787407,0.9846620221054235,-0.053373158241099006,-0.6754990274407424,73.3,0.05810473815461347,0.9136247549873966,moderate
245,Psyllium husk powder,It’s just,"fr:protéines whey, en:bodybuilding-supplements",en:france,357.0,1.0,0.667,3.0,2.33,86.7,0.5,,https://images.openfoodfacts.org/images/products/invalid/front_fr.12.400.jpg,,fr:protéines whey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.35,0.006508379888268157,0.9890375846573702,low
387,Multi collagen gummies,Carlyle,en:dietary-supplements,en:Ireland,800.0,,,300.0,250.0,,,,https://images.openfoodfacts.org/images/products/invalid/front_en.3.400.jpg,,en:dietary-supplements,3.4874324892682638,,,12.354669406901122,,,,,0.3121098626716604,0.7853945472157087,moderate
455,100% Whey Isolate,Scitec  Nutrition,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Ireland,348.0,0.5,0.5,2.40000009536743,,84.0,,,https://images.openfoodfacts.org/images/products/invalid/front_en.3.400.jpg,,Dietary supplements,0.18353770828871324,-0.47879912055758805,-0.7865256107157038,,1.3425072775413043,,,56.0,,0.9971304607680541,low
747,Organic Protein Powder Vanilla Bean Flavored,Orgain,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Ireland,326.086956521739,8.69565217391304,1.08695652173913,32.6086956521739,,45.6521739130435,,,https://images.openfoodfacts.org/images/products/invalid/front_en.3.400.jpg,,Dietary supplements,0.025106483964514276,0.03955822318813586,-0.6210945869317036,,0.0600224531022691,,,4.708520179372202,,0.989475962004188,low
772,Vitamin B12,Nutribioticals,"Dietary supplements, Vitamins",en:Spain,451.0,31.94,,38.4,,7.84,,,https://images.openfoodfacts.org/images/products/invalid/front_en.4.400.jpg,,Dietary supplements,0.9282273321459064,1.5097131468663274,,,-1.2045482975985713,,,0.23800850030358228,,0.6899778165919974,high
875,Vegan 3K-protein,Nutri +,Protein powders,en:Ireland,372.0,2.4,1.0,1.3,1.1,85.0,3.1,1.5,https://images.openfoodfacts.org/images/products/invalid/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/invalid/nutrition_en.23.400.jpg,Protein powders,-0.04636749712265221,-0.6298238847413924,-0.5055159914364543,-0.623632911737707,0.5749086863166276,1.8218559441046824,-0.6209844117511718,25.0,0.002949061662198392,0.9742767113331343,low
893,Bio Whey Protein Kakao,Terrasoul Superfoods,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,273.0,0.0,0.0,73.3,66.7,6.67,0.117,6.67,https://images.openfoodfacts.org/images/products/invalid/front_de.14.400.jpg,,Nahrungsergänzungsmittel,-0.8065019441691141,-0.8435446938048671,-0.8870241047507506,7.593314973100146,-1.83623269860489,-0.3592317150945074,0.14414029986524668,6.67,0.24343065693430657,0.796238829469457,moderate
931,Nutritional yeast,,Bovine collagen,en:Ireland,327.0,5.0,1.7,9.0,8.0,49.0,,27.0,https://images.openfoodfacts.org/images/products/invalid/front_en.5.400.jpg,https://images.openfoodfacts.org/images/products/invalid/nutrition_en.9.400.jpg,Bovine collagen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.166666666666666,0.024390243902439025,0.8884923520960724,moderate
1065,boisson à l'aloe vera,Herbalife,"Alimentos y bebidas de origen vegetal, Bebidas, Comidas preparadas, Bebidas de origen vegetal, Bebidas a base de frutas, Suplementos dietéticos, Suplementos de culturismo, en:Supplement, en:groceries","France,Espagne",12.0,0.0,0.0,3.0,0.0,0.0,0.1,0.0,https://images.openfoodfacts.org/images/products/000/000/000/1065/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/1065/nutrition_fr.50.400.jpg,Alimentos y bebidas de origen vegetal,-1.704085273816739,-2.0643710510087763,-1.359024589820975,-1.0112097263043622,-1.5797203357939793,-0.5506222285685102,-1.1433190846181769,0.0,0.0,0.989115998857854,low
1248,Chocolate + Vanila Powder,Blackbelt Protein,"Dietary supplements, Bodybuilding supplements, Protein powders",Ireland,376.0,7.2,1.76,42.0,20.8,36.0,1.23,12.0,https://images.openfoodfacts.org/images/products/000/000/000/1248/front_en.9.400.jpg,,Dietary supplements,0.3859776060362997,-0.05503855466254245,-0.4314003463260498,1.2247523675968779,-0.26277984964769296,-0.04904367195103286,0.5028066931400241,4.390243902439025,0.05517241379310345,0.8384654953803824,high
