code,name,brand,categories,countries,energy_kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,image_url,image_nutrition_url,is_nutrition_anomaly,anomaly_score,claim_legality,claim_confidence,meets_category_expectations,expectation_violations,training_label_score,training_label_risk
42,Multivitamins & Minerals,Seara,"Compléments alimentaires, Vitamines","Belgien, Germany",169.0,9.0,3.0,19.45,4.05,22.0,0.125,1.95,https://images.openfoodfacts.org/images/products/invalid/front_fr.29.400.jpg,https://images.openfoodfacts.org/images/products/invalid/nutrition_fr.25.400.jpg,True,-0.5574266975542417,unknown,0.5,False,High fat: 9.0 > 1,0.65,high
46,1up,Streawberry shortcake,"Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, Brazil nuts, Protein",United Kingdom,352.941176470588,17.6470588235294,,,5.88235294117647,11.7647058823529,,5.88235294117647,https://images.openfoodfacts.org/images/products/invalid/front_en.7.400.jpg,,False,-0.42109520757632823,unknown,0.5,False,Low protein: 11.7647058823529 < 15; High sugar: 5.88235294117647 > 5,0.85,moderate
73,Whopper,nutra vita,"Dietary supplements, Vitamins, Omega-3",en:Germany,225.0,13.3,,14.5,,9.7,0.865,0.66,https://images.openfoodfacts.org/images/products/invalid/front_en.13.400.jpg,,False,-0.4212880990628292,unknown,0.5,False,High fat: 13.3 > 1,0.85,moderate
108,BP-ER,"Edelbrand, Wellgard","Beverages and beverages preparations, Beverages, Dietary supplements","Italien, Germany",360.0,0.0,0.0,0.0,0.0,90.0,1.25,0.0,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg,https://images.openfoodfacts.org/images/products/invalid/nutrition_en.22.400.jpg,False,-0.41839072151968776,unknown,0.5,True,,1.0,low
135,Veganes Protein Schoko,Volksshake,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,354.0,6.0,0.3,8.2,0.2,69.8,0.8,,https://images.openfoodfacts.org/images/products/invalid/front_de.15.400.jpg,https://images.openfoodfacts.org/images/products/invalid/nutrition_de.17.400.jpg,False,-0.39292368383551146,unknown,0.5,True,,1.0,low
172,mélange vegan pour boisson proteinee,Herbalife nutrition,Mélange vegan pour boisson proteinee,en:germany,388.0,9.3,1.0,20.0,0.8,5.4,2.0,3.2,https://images.openfoodfacts.org/images/products/invalid/front_fr.23.400.jpg,https://images.openfoodfacts.org/images/products/invalid/nutrition_fr.27.400.jpg,False,-0.47154994811473777,unknown,0.5,False,Low protein: 5.4 < 15,0.85,moderate
191,Mix fruits rojos,Zitromac,Dietary supplements,en:Ireland,332.299987792969,5.19999980926514,,47.2000007629395,,8.10000038146973,,23.2700004577637,https://images.openfoodfacts.org/images/products/invalid/front_en.3.400.jpg,,False,-0.44247347177627744,unknown,0.5,True,,1.0,low
229,Vanilla Grass-fed Whey Protein Isolate,Opportuniteas,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Ireland,400.0,0.0,0.0,23.3,23.3,73.3,1.12,0.0,https://images.openfoodfacts.org/images/products/invalid/front_en.6.400.jpg,https://images.openfoodfacts.org/images/products/invalid/nutrition_en.8.400.jpg,True,-0.4586034403259627,unknown,0.5,False,High sugar: 23.3 > 5,0.65,high
245,Psyllium husk powder,It’s just,"fr:protéines whey, en:bodybuilding-supplements",en:france,357.0,1.0,0.667,3.0,2.33,86.7,0.5,,https://images.openfoodfacts.org/images/products/invalid/front_fr.12.400.jpg,,False,-0.39645604708442145,unknown,0.5,True,,1.0,low
387,Multi collagen gummies,Carlyle,en:dietary-supplements,en:Ireland,800.0,,,300.0,250.0,,,,https://images.openfoodfacts.org/images/products/invalid/front_en.3.400.jpg,,True,-0.6083332221541706,unknown,0.5,True,,0.8,moderate
