code,name,brand,categories,countries,energy_kcal,fat,sugar,protein,salt,integrity_score,risk_level
42,Multivitamins & Minerals,Seara,"Compléments alimentaires, Vitamines","Belgien, Germany",169.0,9.0,4.05,22.0,0.125,0.7649278548151717,high
46,1up,Streawberry shortcake,"Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, Brazil nuts, Protein",United Kingdom,352.941176470588,17.6470588235294,5.88235294117647,11.7647058823529,,0.8586496355454032,moderate
73,Whopper,nutra vita,"Dietary supplements, Vitamins, Omega-3",en:Germany,225.0,13.3,,9.7,0.865,0.8673287071810855,moderate
108,BP-ER,"Edelbrand, Wellgard","Beverages and beverages preparations, Beverages, Dietary supplements","Italien, Germany",360.0,0.0,0.0,90.0,1.25,0.9734836508510297,low
135,Veganes Protein Schoko,Volksshake,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,354.0,6.0,0.2,69.8,0.8,1.0,low
172,mélange vegan pour boisson proteinee,Herbalife nutrition,Mélange vegan pour boisson proteinee,en:germany,388.0,9.3,0.8,5.4,2.0,0.8682180861752685,moderate
191,Mix fruits rojos,Zitromac,Dietary supplements,en:Ireland,332.299987792969,5.19999980926514,,8.10000038146973,,0.9556392417194782,low
229,Vanilla Grass-fed Whey Protein Isolate,Opportuniteas,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Ireland,400.0,0.0,23.3,73.3,1.12,0.9136247549873966,moderate
245,Psyllium husk powder,It’s just,"fr:protéines whey, en:bodybuilding-supplements",en:france,357.0,1.0,2.33,86.7,0.5,0.9890375846573702,low
387,Multi collagen gummies,Carlyle,en:dietary-supplements,en:Ireland,800.0,,250.0,,,0.7853945472157087,moderate
455,100% Whey Isolate,Scitec  Nutrition,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Ireland,348.0,0.5,,84.0,,0.9971304607680541,low
747,Organic Protein Powder Vanilla Bean Flavored,Orgain,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Ireland,326.086956521739,8.69565217391304,,45.6521739130435,,0.989475962004188,low
772,Vitamin B12,Nutribioticals,"Dietary supplements, Vitamins",en:Spain,451.0,31.94,,7.84,,0.6899778165919974,high
875,Vegan 3K-protein,Nutri +,Protein powders,en:Ireland,372.0,2.4,1.1,85.0,3.1,0.9742767113331343,low
893,Bio Whey Protein Kakao,Terrasoul Superfoods,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,273.0,0.0,66.7,6.67,0.117,0.796238829469457,moderate
931,Nutritional yeast,,Bovine collagen,en:Ireland,327.0,5.0,8.0,49.0,,0.8884923520960724,moderate
1065,boisson à l'aloe vera,Herbalife,"Alimentos y bebidas de origen vegetal, Bebidas, Comidas preparadas, Bebidas de origen vegetal, Bebidas a base de frutas, Suplementos dietéticos, Suplementos de culturismo, en:Supplement, en:groceries","France,Espagne",12.0,0.0,0.0,0.0,0.1,0.989115998857854,low
1248,Chocolate + Vanila Powder,Blackbelt Protein,"Dietary supplements, Bodybuilding supplements, Protein powders",Ireland,376.0,7.2,20.8,36.0,1.23,0.8384654953803824,high
1426,Protein Drink Mix,Herbalife,"Meals, Dietary supplements, Bodybuilding supplements, Protein powders","France,Espagne",110.0,3.0,1.0,15.0,0.889,0.979428956591059,low
1524,roseguard  vitamin a c e  rosmery,herbalife,"en:Plant-based foods and beverages, en:Plant-based foods, en:Sweeteners, Doplněk stravy, en:Stevia and their products, en:Supplement","France,Spain",0.0,0.0,0.0,,,0.9940795572906583,low
1569,Shakemate,Herbalife,"Dietary supplements,Bodybuilding supplements,Protein powders",Ireland,382.0,3.0,0.0,83.0,82.5,0.7979222898470194,moderate
1660,Tom’s of Maine Fresh Mint,"Herbalife, lackmann",Shake proteine,"France, Germany",348.0,3.5,15.0,48.0,0.83,0.7555425252666699,high
202330877,Hydro 90 BV 104 Whey Protein,WHYsport,"Whey Protein, en:bodybuilding-supplements",Italy,384.0,2.4,1.0,88.0,0.4,0.9911167580430656,low
2171,Organic Vegan Protein Shake Mix,Earth Chimp,Protein powders,en:Ireland,120.0,2.0,0.003,20.0,0.6,0.8392485055885938,low
244934031,Bio Erbsen Protein 82%,Piowald,"Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Proteinpulver",en:Germany,402.0,7.8,0.0,82.0,1.9,0.9910671829113509,low
2600,Protein Drink Mix,Herbalife,"Dietary supplements,Bodybuilding supplements,Protein powders,Protein shakes","Croatia,France,Spain",387.0,8.2,0.9,53.0,2.6,0.9771143557030167,low
4462,Boisson nutritionnelle banana creme,Herbalife,"Dietary supplements, en:bodybuilding-supplements","France,Espagne",377.0,10.0,30.0,35.0,1.2,0.7837862128264561,high
4505,Anthony's Pumpkin Seed Protein Powder,Anthony's,"Pumpkin seeds and their products,Protein powders",en:Ireland,400.0,10.0,6.67,60.0,1.42,0.856621289532919,moderate
4900,blueberry muffins,Entenmann's,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Dietary supplements, Special breads, Bodybuilding supplements, English muffins, Protein powders, Breakfast",Ireland,150.0,2.0,3.0,6.0,,0.9043880307005433,moderate
4905,Muscle milk,Muscle milk,"Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Breads, Shakes, Protein",en:Ireland,500.0,21.4285714285714,7.14285714285714,7.14285714285714,,0.8231394014943072,moderate
4906,MM Cookies 'n Cream Protein Powder,Miscle milk,"Shake, Protein powder",en:Ireland,100.0,1.0,50.0,20.0,,0.6855581087997056,high
4909,Marias,Gamesa,"Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Snacks, Cereals and potatoes, Breads, Dietary supplements, Bodybuilding supplements, Protein powders, Electrolytes",en:Ireland,100.0,7.0,14.0,3.0,,0.8517009522244359,moderate
683442920,Designer Whey Protein Vanilla,ESN,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Germany,374.0,4.5,4.5,78.0,0.7,1.0,low
6853,Collagen,Wehle Sports,Dietary supplements,en:Germany,359.0,0.1,0.1,90.0,2.0,0.9788425539857378,low
979254822,Perfectbar,,"Supplementi dietetici, Integratori per bodybuilding, Barrette proteiche",Italy,415.0,18.0,0.8,48.0,0.5,1.0,low
980642755,Bevanda al gusto di cacao,Dieta Lab,"Bevande, Prodotti disidratati, Prodotti disidratati da reidratare, Supplementi dietetici, Bevande istantanee, Integratori per bodybuilding, Bevande disidratate, Proteine in polvere",Italy,352.0,4.8,5.2,64.0,2.6,0.8420153648159724,moderate
982658167,Protein break,,"Dietary supplements,Bodybuilding supplements",Italy,447.0,18.0,20.0,8.7,0.13,0.9438858367396986,moderate
988381152,Perfect 100% Whey,WHY SPORT,en:dietary-supplements,en:Italy,375.0,1.4,1.0,88.0,0.295,1.0,low
1003308851,protein bar chocolate toffee brownie flavour,Powerbar,Protein bars,France,332.0,13.0,1.7,24.0,0.4,0.9682901660585141,low
1403701389,High Protein Water,Aqua+,Proteinshake,en:germany,18.0,0.0,0.0,4.0,,0.7230290826530491,high
14395,protein pure isolate,Bodylab,"Dietary supplements,Bodybuilding supplements,Protein powders",Netherlands,373.0,1.0,3.6,88.0,0.63,1.0,low
16510,Whey protein,lackmann,"Dietary supplements, Bodybuilding supplements, Protein powders","Vereinigte Staaten von Amerika, Germany",410.26,8.97,17.95,53.85,0.42,0.8690703861615499,moderate
17713,Whey native isolate chocolat,Nutrimuscle,"Dietary supplements, Bodybuilding supplements, Protein powders",en:Ireland,377.0,0.300000011920929,,86.0,,0.9985261659749147,low
32056,spaghetti,Sainsbury's,"Plant-based foods and beverages, Beverages, Plant-based foods, Hot beverages, Plant-based beverages, Pastas, Herbal teas, Dry pastas, Chamomile","France, en:united-kingdom",164.0,0.7,1.5,5.1,0.0125,0.8944995095429414,moderate
3514300592,Unsweetened Green Tea,Ito En,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas, Green teas, Herbal teas","Japan, United States",0.0,0.0,0.0,0.0,0.00613,1.0,low
38325,Activate,Tranont,en:dietary-supplements,en:Ireland,10.0,,,,,0.9790898387499538,low
39365,Pure Whey Protein Berries & Cream,Bulk Powders,"Dietary supplements,Bodybuilding supplements,Protein powders",France,417.0,7.5,8.7,76.3,0.371,0.8677766970035395,moderate
44701,Summer berries,Herbalife,en:dietary-supplements,en:Ireland,398.0,9.69999980926514,21.0,35.0,,0.9490240618971798,low
49059,MM,Muscle milk,"Protein drink, Protein shake",en:Ireland,170.0,2.0,1.0,32.0,,0.9802059088338827,low
51446,Greek Style Natural Yogurt,M&S Food,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Fermented dairy desserts with fruits, Yogurts, Fruit yogurts, Greek-style yogurts, Low-fat yogurts, Yogurts high in protein on a fruit layer, en:plain-yogurts","France, en:united-kingdom",64.0,0.4,8.0,7.0,0.1775,0.8957446327656247,moderate
5468879935,Hydrixir antioxydant mojito,OVERSTIM.s,"Dietary supplements, en:instant-beverages",France,357.6,1.0,48.0,1.0,1.9,0.7984302931801148,moderate
75283,Blend vegan,Growth,Dietary supplements,Ireland,316.666666666667,,,73.3333333333333,,0.9868998129977928,low
94845,Whey Protein Bar Chocolate Fudge,NO!CE,protein bar,India,365.0,8.93,0.0,25.0,0.406,0.9417276619886545,low
100755,Complete diet protein smoothie advanced strawberry,Bulk Powders,Dietary supplements,France,367.0,8.0,6.0,67.2,0.6700000166893,0.878059270126745,moderate
